Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Jour_Semaine,Mois,Type_Commande
TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,Non Spécifié,2023-05-28,Sunday,May,Petite
TXN_6855453,Non Spécifié,4.0,3.0,12.0,Non Spécifié,In-store,2023-07-17,Monday,July,Grosse
TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,Saturday,April,Petite
TXN_2655815,Smoothie,4.0,4.0,16.0,Non Spécifié,Takeaway,2023-06-08,Thursday,June,Grosse
TXN_6688524,Coffee,4.0,2.0,8.0,Non Spécifié,Non Spécifié,2023-06-29,Thursday,June,Grosse
TXN_2083138,Smoothie,3.0,4.0,12.0,Non Spécifié,In-store,2023-04-17,Monday,April,Petite
TXN_2427584,Sandwich,4.0,4.0,16.0,Non Spécifié,Takeaway,2023-12-22,Friday,December,Grosse
TXN_6650263,Tea,2.0,1.5,3.0,Non Spécifié,Takeaway,2023-01-10,Tuesday,January,Petite
TXN_9620080,Juice,4.0,3.0,12.0,Non Spécifié,Takeaway,2023-10-02,Monday,October,Grosse
TXN_1491578,Cookie,2.0,1.0,2.0,Non Spécifié,Non Spécifié,2023-02-23,Thursday,February,Petite
TXN_5455792,Salad,3.0,5.0,15.0,Cash,Non Spécifié,2023-03-22,Wednesday,March,Petite
TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,Friday,November,Grosse
TXN_9499313,Juice,5.0,3.0,15.0,Non Spécifié,Non Spécifié,2023-03-02,Thursday,March,Grosse
TXN_8201146,Juice,5.0,3.0,15.0,Cash,Non Spécifié,2023-06-26,Monday,June,Grosse
TXN_8230936,Cake,3.0,3.0,9.0,Non Spécifié,Non Spécifié,2023-05-02,Tuesday,May,Petite
TXN_7742742,Cake,5.0,3.0,15.0,Non Spécifié,Takeaway,2023-09-05,Tuesday,September,Grosse
TXN_6342161,Salad,5.0,5.0,25.0,Non Spécifié,Takeaway,2023-01-08,Sunday,January,Grosse
TXN_8914892,Non Spécifié,5.0,5.0,25.0,Digital Wallet,Non Spécifié,2023-03-15,Wednesday,March,Grosse
TXN_3363746,Smoothie,3.0,4.0,12.0,Credit Card,Non Spécifié,2023-11-25,Saturday,November,Petite
TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,Tuesday,December,Grosse
TXN_5522862,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-03-19,Sunday,March,Petite
TXN_3578141,Cake,5.0,3.0,15.0,Non Spécifié,Takeaway,2023-06-27,Tuesday,June,Grosse
TXN_2080895,Cake,1.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,Wednesday,April,Petite
TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,Friday,November,Grosse
TXN_8813311,Juice,5.0,3.0,15.0,Non Spécifié,In-store,2023-10-07,Saturday,October,Grosse
TXN_9023317,Salad,1.0,5.0,5.0,Non Spécifié,Non Spécifié,2023-09-30,Saturday,September,Petite
TXN_8051289,Non Spécifié,1.0,3.0,3.0,Non Spécifié,In-store,2023-10-09,Monday,October,Petite
TXN_2537617,Sandwich,1.0,4.0,4.0,Cash,Non Spécifié,2023-05-27,Saturday,May,Petite
TXN_9099694,Non Spécifié,3.0,5.0,15.0,Non Spécifié,Takeaway,2023-11-18,Saturday,November,Petite
TXN_9230615,Smoothie,4.0,4.0,16.0,Digital Wallet,Non Spécifié,2023-06-01,Thursday,June,Grosse
TXN_4987129,Sandwich,3.0,4.0,12.0,Non Spécifié,In-store,2023-10-20,Friday,October,Petite
TXN_8501819,Juice,1.0,3.0,3.0,Cash,Non Spécifié,2023-03-30,Thursday,March,Petite
TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,Tuesday,October,Petite
TXN_8427104,Salad,2.0,5.0,10.0,Non Spécifié,In-store,2023-10-27,Friday,October,Petite
TXN_8471743,Non Spécifié,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,Thursday,April,Grosse
TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,Wednesday,March,Petite
TXN_4726376,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,Tuesday,January,Petite
TXN_6044979,Non Spécifié,1.0,1.0,1.0,Cash,In-store,2023-12-08,Friday,December,Petite
TXN_4238417,Salad,2.0,5.0,10.0,Non Spécifié,Non Spécifié,2023-06-19,Monday,June,Petite
TXN_1900620,Smoothie,2.0,4.0,8.0,Credit Card,Non Spécifié,2023-12-14,Thursday,December,Petite
TXN_6420335,Coffee,1.0,2.0,2.0,Cash,Takeaway,2023-07-16,Sunday,July,Petite
TXN_3858209,Sandwich,4.0,4.0,16.0,Cash,Non Spécifié,2023-02-22,Wednesday,February,Grosse
TXN_8735480,Tea,5.0,1.5,7.5,Cash,Non Spécifié,2023-06-02,Friday,June,Grosse
TXN_3829165,Juice,4.0,3.0,12.0,Cash,In-store,2023-06-15,Thursday,June,Grosse
TXN_3748616,Coffee,2.0,2.0,4.0,Credit Card,In-store,2023-12-09,Saturday,December,Petite
TXN_1993289,Sandwich,2.0,4.0,8.0,Non Spécifié,In-store,2023-04-18,Tuesday,April,Petite
TXN_2123367,Cookie,2.0,1.0,2.0,Non Spécifié,Non Spécifié,2023-11-07,Tuesday,November,Petite
TXN_5266394,Cake,3.0,3.0,9.0,Cash,In-store,2023-10-28,Saturday,October,Petite
TXN_5107946,Cake,4.0,3.0,12.0,Credit Card,Non Spécifié,2023-12-22,Friday,December,Grosse
TXN_8035512,Tea,3.0,1.5,4.5,Cash,Non Spécifié,2023-10-29,Sunday,October,Petite
TXN_8718498,Cake,5.0,3.0,15.0,Credit Card,Non Spécifié,2023-04-30,Sunday,April,Grosse
TXN_3955361,Cookie,5.0,1.0,5.0,Non Spécifié,Takeaway,2023-04-02,Sunday,April,Grosse
TXN_9487821,Non Spécifié,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-05-24,Wednesday,May,Petite
TXN_4132730,Non Spécifié,5.0,1.0,5.0,Non Spécifié,In-store,2023-03-12,Sunday,March,Grosse
TXN_8976658,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-08-16,Wednesday,August,Petite
TXN_5455936,Non Spécifié,5.0,3.0,15.0,Non Spécifié,In-store,2023-10-28,Saturday,October,Grosse
TXN_2725602,Juice,5.0,3.0,15.0,Credit Card,Non Spécifié,2023-09-10,Sunday,September,Grosse
TXN_3011323,Coffee,3.0,2.0,6.0,Credit Card,Non Spécifié,2023-03-07,Tuesday,March,Petite
TXN_6289610,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-07,Monday,August,Petite
TXN_8268061,Salad,3.0,5.0,15.0,Non Spécifié,Takeaway,2023-08-20,Sunday,August,Petite
TXN_5220895,Salad,5.0,5.0,25.0,Cash,In-store,2023-06-10,Saturday,June,Grosse
TXN_3085509,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-04-15,Saturday,April,Grosse
TXN_9999113,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-05-27,Saturday,May,Grosse
TXN_8779771,Coffee,4.0,2.0,8.0,Cash,In-store,2023-07-25,Tuesday,July,Grosse
TXN_9517146,Non Spécifié,5.0,5.0,25.0,Cash,Takeaway,2023-10-30,Monday,October,Grosse
TXN_1621920,Salad,3.0,5.0,15.0,Non Spécifié,Takeaway,2023-10-28,Saturday,October,Petite
TXN_3808639,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-12-15,Friday,December,Petite
TXN_6955416,Salad,4.0,5.0,20.0,Non Spécifié,In-store,2023-02-25,Saturday,February,Grosse
TXN_3775339,Cookie,3.0,1.0,3.0,Credit Card,Non Spécifié,2023-04-03,Monday,April,Petite
TXN_9547091,Cookie,3.0,1.0,3.0,Credit Card,Non Spécifié,2023-10-08,Sunday,October,Petite
TXN_4358673,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-12-28,Thursday,December,Grosse
TXN_4174591,Tea,4.0,1.5,6.0,Digital Wallet,Non Spécifié,2023-08-30,Wednesday,August,Grosse
TXN_3398520,Sandwich,1.0,4.0,4.0,Non Spécifié,In-store,2023-02-03,Friday,February,Petite
TXN_6171384,Smoothie,2.0,4.0,8.0,Credit Card,Non Spécifié,2023-09-12,Tuesday,September,Petite
TXN_2530938,Smoothie,5.0,4.0,20.0,Non Spécifié,Takeaway,2023-04-27,Thursday,April,Grosse
TXN_3314971,Juice,3.0,3.0,9.0,Digital Wallet,Non Spécifié,2023-05-04,Thursday,May,Petite
TXN_3092382,Coffee,5.0,2.0,10.0,Digital Wallet,Non Spécifié,2023-02-21,Tuesday,February,Grosse
TXN_1535311,Juice,3.0,3.0,9.0,Cash,Non Spécifié,2023-03-16,Thursday,March,Petite
TXN_2148617,Juice,1.0,3.0,3.0,Digital Wallet,Non Spécifié,2023-01-10,Tuesday,January,Petite
TXN_4633784,Non Spécifié,5.0,3.0,15.0,Non Spécifié,In-store,2023-02-06,Monday,February,Grosse
TXN_4368416,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-02-24,Friday,February,Petite
TXN_9790731,Cake,2.0,3.0,6.0,Non Spécifié,Non Spécifié,2023-06-02,Friday,June,Petite
TXN_9339456,Coffee,3.0,2.0,6.0,Non Spécifié,Takeaway,2023-03-29,Wednesday,March,Petite
TXN_5179020,Cake,2.0,3.0,6.0,Non Spécifié,Takeaway,2023-06-18,Sunday,June,Petite
TXN_6258471,Coffee,5.0,2.0,10.0,Digital Wallet,In-store,2023-09-23,Saturday,September,Grosse
TXN_7945375,Juice,3.0,3.0,9.0,Non Spécifié,Non Spécifié,2023-01-14,Saturday,January,Petite
TXN_4685453,Tea,4.0,1.5,6.0,Cash,In-store,2023-09-14,Thursday,September,Grosse
TXN_9646452,Juice,5.0,3.0,15.0,Credit Card,Non Spécifié,2023-09-16,Saturday,September,Grosse
TXN_9096052,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-12-28,Thursday,December,Grosse
TXN_5916991,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-02-06,Monday,February,Petite
TXN_3407169,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-03-11,Saturday,March,Petite
TXN_2277042,Tea,1.0,1.5,1.5,Cash,Non Spécifié,2023-04-08,Saturday,April,Petite
TXN_9273729,Tea,1.0,1.5,1.5,Non Spécifié,Non Spécifié,2023-12-19,Tuesday,December,Petite
TXN_2181545,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-14,Friday,July,Grosse
TXN_1150033,Juice,5.0,3.0,15.0,Cash,In-store,2023-04-18,Tuesday,April,Grosse
TXN_1443912,Juice,2.0,3.0,6.0,Non Spécifié,Non Spécifié,2023-06-08,Thursday,June,Petite
TXN_8700451,Tea,5.0,1.5,7.5,Credit Card,Takeaway,2023-12-12,Tuesday,December,Grosse
TXN_6380550,Coffee,5.0,2.0,10.0,Cash,In-store,2023-01-05,Thursday,January,Grosse
TXN_4885518,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-06-10,Saturday,June,Petite
TXN_3972167,Sandwich,5.0,4.0,20.0,Non Spécifié,In-store,2023-01-23,Monday,January,Grosse
TXN_4878378,Tea,1.0,1.5,1.5,Credit Card,Non Spécifié,2023-02-20,Monday,February,Petite
TXN_2484241,Cake,3.0,3.0,9.0,Digital Wallet,Non Spécifié,2023-07-19,Wednesday,July,Petite
TXN_2368126,Cake,5.0,3.0,15.0,Non Spécifié,In-store,2023-12-06,Wednesday,December,Grosse
TXN_8495063,Juice,1.0,3.0,3.0,Cash,Non Spécifié,2023-05-31,Wednesday,May,Petite
TXN_4811133,Salad,2.0,5.0,10.0,Cash,Non Spécifié,2023-08-11,Friday,August,Petite
TXN_8729570,Tea,5.0,1.5,7.5,Non Spécifié,In-store,2023-09-03,Sunday,September,Grosse
TXN_7623634,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-07-11,Tuesday,July,Petite
TXN_9336980,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-06,Tuesday,June,Grosse
TXN_3424331,Cake,4.0,3.0,12.0,Non Spécifié,Non Spécifié,2023-01-18,Wednesday,January,Grosse
TXN_5072031,Cake,2.0,3.0,6.0,Cash,Takeaway,2023-03-23,Thursday,March,Petite
TXN_8687151,Salad,5.0,5.0,25.0,Cash,Non Spécifié,2023-06-10,Saturday,June,Grosse
TXN_4031509,Non Spécifié,4.0,,,Credit Card,Takeaway,2023-01-04,Wednesday,January,Grosse
TXN_5265095,Coffee,1.0,2.0,2.0,Non Spécifié,Non Spécifié,2023-06-23,Friday,June,Petite
TXN_6541415,Non Spécifié,1.0,3.0,3.0,Cash,In-store,2023-11-25,Saturday,November,Petite
TXN_4108138,Coffee,5.0,2.0,10.0,Cash,Non Spécifié,2023-08-03,Thursday,August,Grosse
TXN_1909796,Smoothie,2.0,4.0,8.0,Non Spécifié,Takeaway,2023-07-12,Wednesday,July,Petite
TXN_1928241,Coffee,3.0,2.0,6.0,Cash,In-store,2023-04-30,Sunday,April,Petite
TXN_4283157,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-11-25,Saturday,November,Grosse
TXN_8013032,Coffee,2.0,2.0,4.0,Credit Card,Non Spécifié,2023-03-07,Tuesday,March,Petite
TXN_8301424,Juice,2.0,3.0,6.0,Non Spécifié,Non Spécifié,2023-06-27,Tuesday,June,Petite
TXN_7965998,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-11-02,Thursday,November,Petite
TXN_9238666,Cookie,1.0,1.0,1.0,Non Spécifié,Takeaway,2023-07-31,Monday,July,Petite
TXN_1631695,Tea,2.0,1.5,3.0,Non Spécifié,In-store,2023-09-19,Tuesday,September,Petite
TXN_1435086,Cake,5.0,3.0,15.0,Non Spécifié,Non Spécifié,2023-02-09,Thursday,February,Grosse
TXN_3226832,Non Spécifié,5.0,4.0,20.0,Cash,Non Spécifié,2023-09-04,Monday,September,Grosse
TXN_1648671,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-05-21,Sunday,May,Petite
TXN_4062737,Cake,3.0,3.0,9.0,Cash,In-store,2023-07-02,Sunday,July,Petite
TXN_3494565,Non Spécifié,2.0,4.0,8.0,Non Spécifié,Non Spécifié,2023-07-10,Monday,July,Petite
TXN_9249507,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,Tuesday,November,Grosse
TXN_4689500,Sandwich,4.0,4.0,16.0,Non Spécifié,Non Spécifié,2023-12-02,Saturday,December,Grosse
TXN_8989148,Tea,2.0,1.5,3.0,Non Spécifié,Non Spécifié,2023-11-25,Saturday,November,Petite
TXN_8316826,Coffee,3.0,2.0,6.0,Non Spécifié,In-store,2023-04-17,Monday,April,Petite
TXN_9836934,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,Monday,March,Petite
TXN_8005489,Cake,3.0,3.0,9.0,Non Spécifié,In-store,2023-08-12,Saturday,August,Petite
TXN_3925836,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,Thursday,February,Petite
TXN_1896955,Salad,1.0,5.0,5.0,Non Spécifié,In-store,2023-09-23,Saturday,September,Petite
TXN_5075974,Smoothie,1.0,4.0,4.0,Digital Wallet,Non Spécifié,2023-04-11,Tuesday,April,Petite
TXN_3978874,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,Monday,March,Grosse
TXN_8955912,Sandwich,1.0,4.0,4.0,Non Spécifié,Non Spécifié,2023-11-07,Tuesday,November,Petite
TXN_1136554,Smoothie,3.0,4.0,12.0,Non Spécifié,Takeaway,2023-03-26,Sunday,March,Petite
TXN_8007337,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,Wednesday,November,Petite
TXN_8129834,Salad,1.0,5.0,5.0,Cash,Non Spécifié,2023-07-22,Saturday,July,Petite
TXN_3831848,Non Spécifié,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,Friday,November,Petite
TXN_5365809,Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,Thursday,September,Petite
TXN_8166407,Smoothie,2.0,4.0,8.0,Non Spécifié,Non Spécifié,2023-07-26,Wednesday,July,Petite
TXN_6629480,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,Tuesday,February,Grosse
TXN_3833797,Coffee,4.0,2.0,8.0,Non Spécifié,In-store,2023-01-27,Friday,January,Grosse
TXN_2643815,Cookie,1.0,1.0,1.0,Non Spécifié,Non Spécifié,2023-12-06,Wednesday,December,Petite
TXN_2996519,Cake,5.0,3.0,15.0,Cash,Non Spécifié,2023-01-19,Thursday,January,Grosse
TXN_8810894,Smoothie,1.0,4.0,4.0,Non Spécifié,Non Spécifié,2023-02-20,Monday,February,Petite
TXN_7412722,Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,Friday,April,Grosse
TXN_3937509,Smoothie,2.0,4.0,8.0,Non Spécifié,In-store,2023-03-20,Monday,March,Petite
TXN_6000201,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,Thursday,February,Petite
TXN_1714274,Cookie,4.0,1.0,4.0,Non Spécifié,In-store,2023-12-27,Wednesday,December,Grosse
TXN_3800182,Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26,Thursday,October,Petite
TXN_5115080,Non Spécifié,5.0,3.0,15.0,Credit Card,Non Spécifié,2023-02-18,Saturday,February,Grosse
TXN_9788956,Juice,1.0,3.0,3.0,Non Spécifié,Non Spécifié,2023-04-11,Tuesday,April,Petite
TXN_6311602,Juice,3.0,3.0,9.0,Credit Card,Non Spécifié,2023-05-15,Monday,May,Petite
TXN_2950680,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,Sunday,December,Petite
TXN_6749847,Cake,2.0,3.0,6.0,Credit Card,Non Spécifié,2023-08-15,Tuesday,August,Petite
TXN_2143187,Smoothie,1.0,4.0,4.0,Non Spécifié,In-store,2023-04-21,Friday,April,Petite
TXN_8964522,Non Spécifié,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,Saturday,October,Petite
TXN_4088917,Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,Saturday,February,Petite
TXN_3779366,Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,Saturday,April,Petite
TXN_7724048,Smoothie,1.0,4.0,4.0,Non Spécifié,In-store,2023-11-12,Sunday,November,Petite
TXN_2698591,Tea,5.0,1.5,7.5,Non Spécifié,Non Spécifié,2023-08-05,Saturday,August,Grosse
TXN_3171373,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,Wednesday,May,Petite
TXN_6498163,Smoothie,5.0,4.0,20.0,Non Spécifié,In-store,2023-07-15,Saturday,July,Grosse
TXN_6717827,Non Spécifié,3.0,5.0,15.0,Digital Wallet,Non Spécifié,2023-11-15,Wednesday,November,Petite
TXN_9089898,Salad,3.0,5.0,15.0,Credit Card,Non Spécifié,2023-01-11,Wednesday,January,Petite
TXN_8587583,Cake,1.0,3.0,3.0,Non Spécifié,Non Spécifié,2023-10-01,Sunday,October,Petite
TXN_8693704,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-04,Thursday,May,Petite
TXN_3857960,Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,Wednesday,April,Grosse
TXN_3499124,Non Spécifié,4.0,4.0,16.0,Credit Card,Non Spécifié,2023-08-25,Friday,August,Grosse
TXN_9250710,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,Sunday,May,Petite
TXN_7058377,Juice,1.0,3.0,3.0,Non Spécifié,Takeaway,2023-04-30,Sunday,April,Petite
TXN_6766492,Salad,1.0,5.0,5.0,Non Spécifié,Non Spécifié,2023-01-14,Saturday,January,Petite
TXN_9879996,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,Wednesday,March,Grosse
TXN_4291940,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,Monday,November,Petite
TXN_7433461,Cookie,2.0,1.0,2.0,Digital Wallet,Non Spécifié,2023-07-09,Sunday,July,Petite
TXN_4068262,Salad,2.0,5.0,10.0,Credit Card,Non Spécifié,2023-05-13,Saturday,May,Petite
TXN_5047447,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,Wednesday,December,Petite
TXN_6623508,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,Thursday,May,Grosse
TXN_2651216,Non Spécifié,3.0,4.0,12.0,Non Spécifié,Non Spécifié,2023-04-04,Tuesday,April,Petite
TXN_9350833,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17,Tuesday,January,Petite
TXN_8377564,Cake,5.0,3.0,15.0,Non Spécifié,In-store,2023-07-14,Friday,July,Grosse
TXN_7031118,Salad,1.0,5.0,5.0,Credit Card,Non Spécifié,2023-03-29,Wednesday,March,Petite
TXN_2230167,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,Friday,September,Grosse
TXN_6446616,Tea,3.0,1.5,4.5,Non Spécifié,Non Spécifié,2023-09-30,Saturday,September,Petite
TXN_1721827,Cake,4.0,3.0,12.0,Digital Wallet,Non Spécifié,2023-08-22,Tuesday,August,Grosse
TXN_6334895,Smoothie,1.0,4.0,4.0,Credit Card,Non Spécifié,2023-07-27,Thursday,July,Petite
TXN_7077119,Non Spécifié,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,Saturday,December,Petite
TXN_8562645,Salad,1.0,5.0,5.0,Non Spécifié,In-store,2023-05-18,Thursday,May,Petite
TXN_4700144,Coffee,4.0,2.0,8.0,Non Spécifié,In-store,2023-12-21,Thursday,December,Grosse
TXN_5526852,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,Thursday,September,Grosse
TXN_6846228,Salad,3.0,5.0,15.0,Non Spécifié,In-store,2023-11-16,Thursday,November,Petite
TXN_8570890,Juice,4.0,3.0,12.0,Non Spécifié,Non Spécifié,2023-04-14,Friday,April,Grosse
TXN_3205009,Non Spécifié,2.0,1.5,3.0,Cash,In-store,2023-01-03,Tuesday,January,Petite
TXN_3786188,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,Friday,October,Petite
TXN_4530804,Coffee,4.0,2.0,8.0,Non Spécifié,Non Spécifié,2023-01-12,Thursday,January,Grosse
TXN_9642066,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,Thursday,August,Petite
TXN_7328294,Juice,2.0,3.0,6.0,Cash,Non Spécifié,2023-07-07,Friday,July,Petite
TXN_9238066,Non Spécifié,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,Friday,September,Grosse
TXN_5415901,Cake,2.0,3.0,6.0,Digital Wallet,Non Spécifié,2023-10-21,Saturday,October,Petite
TXN_6714420,Non Spécifié,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,Thursday,March,Petite
TXN_6616971,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,Saturday,September,Petite
TXN_7803615,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,Wednesday,December,Petite
TXN_3544789,Tea,4.0,1.5,6.0,Non Spécifié,In-store,2023-07-14,Friday,July,Grosse
TXN_1583597,Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,Wednesday,May,Petite
TXN_8472308,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,Saturday,August,Petite
TXN_1967565,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,Friday,March,Grosse
TXN_2029497,Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06,Friday,January,Petite
TXN_8929774,Non Spécifié,3.0,3.0,9.0,Cash,Non Spécifié,2023-10-02,Monday,October,Petite
TXN_7852990,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,Monday,July,Grosse
TXN_2534066,Salad,2.0,5.0,10.0,Cash,Non Spécifié,2023-10-13,Friday,October,Petite
